Date,Trailing_Dividend_Yield
2011-05-01,0.0
2011-06-01,0.0
2011-07-01,0.0
2011-08-01,0.0
2011-09-01,0.0
2011-10-01,0.0
2011-11-01,0.0
2011-12-01,0.0
2012-01-01,0.0
2012-02-01,0.0
2012-03-01,0.0
2012-04-01,0.0
2012-05-01,0.0
2012-06-01,0.0
2012-07-01,0.0
2012-08-01,0.0
2012-09-01,0.0
2012-10-01,0.0
2012-11-01,0.0
2012-12-01,0.0
2013-01-01,0.0
2013-02-01,0.0
2013-03-01,0.0
2013-04-01,0.0
2013-05-01,0.0
2013-06-01,0.0
2013-07-01,0.013492063492063493
2013-08-01,0.013760117733627668
2013-09-01,0.012686567164179104
2013-10-01,0.012799452429842574
2013-11-01,0.011724137931034483
2013-12-01,0.01125150421179302
2014-01-01,0.012302631578947369
2014-02-01,0.012343234323432343
2014-03-01,0.012294543063773833
2014-04-01,0.012738419618528611
2014-05-01,0.012441783100465734
2014-06-01,0.012002567394094993
2014-07-01,0.024353312302839117
2014-08-01,0.012699425654116145
2014-09-01,0.012053301029678982
2014-10-01,0.011894799760908547
2014-11-01,0.011173498034811904
2014-12-01,0.0111484593837535
2015-01-01,0.011018826135105205
2015-02-01,0.010353798126951093
2015-03-01,0.010045431600201918
2015-04-01,0.00990049751243781
2015-05-01,0.009400094473311289
2015-06-01,0.009544364508393285
2015-07-01,0.020496894409937887
2015-08-01,0.011960478419136765
2015-09-01,0.012943162633652222
2015-10-01,0.011764705882352941
2015-11-01,0.011369253583786456
2015-12-01,0.0117827868852459
2016-01-01,0.012763596004439512
2016-02-01,0.013956310679611651
2016-03-01,0.013279445727482679
2016-04-01,0.013356562137049941
2016-05-01,0.012921348314606741
2016-06-01,0.014241486068111455
2016-07-01,0.029614243323442136
2016-08-01,0.015657741559953434
2016-09-01,0.015954922894424673
2016-10-01,0.015061590145576708
2016-11-01,0.014354322305229456
2016-12-01,0.013738508682328907
2017-01-01,0.01376663254861822
2017-02-01,0.013703515028018339
2017-03-01,0.01376663254861822
2017-04-01,0.013565305093292991
2017-05-01,0.013251231527093597
2017-06-01,0.012982625482625482
2017-07-01,0.027312992125984252
2017-08-01,0.014264339152119701
2017-09-01,0.013703881169142309
2017-10-01,0.01266607617360496
2017-11-01,0.012248394004282655
2017-12-01,0.012217001281503631
2018-01-01,0.012031973075305007
2018-02-01,0.012582490101187857
2018-03-01,0.012877082395317424
2018-04-01,0.012285223367697594
2018-05-01,0.012434782608695653
2018-06-01,0.01237559498052791
2018-07-01,0.027604166666666666
2018-08-01,0.015002143163309044
2018-09-01,0.014124293785310734
2018-10-01,0.015541740674955595
2018-11-01,0.015224010439321443
2018-12-01,0.017006802721088437
2019-01-01,0.016362786348761104
2019-02-01,0.01589464123524069
2019-03-01,0.015887426236949616
2019-04-01,0.01513840830449827
2019-05-01,0.016347501167678656
2019-06-01,0.015829941203075532
2019-07-01,0.03451568894952251
2019-08-01,0.01931979215871516
2019-09-01,0.01829977628635347
2019-10-01,0.017330508474576272
2019-11-01,0.017055879899916596
2019-12-01,0.016755428103236377
2020-01-01,0.017105813467168548
2020-02-01,0.01877007801743919
2020-03-01,0.020761421319796955
2020-04-01,0.019476190476190477
2020-05-01,0.01797802197802198
2020-06-01,0.017636912462268218
2020-07-01,0.035832959137853615
2020-08-01,0.01641350210970464
2020-09-01,0.016289782244556114
2020-10-01,0.016427364864864864
2020-11-01,0.014285714285714285
2020-12-01,0.013726182074805929
2021-01-01,0.013610916724982505
2021-02-01,0.013010033444816053
2021-03-01,0.012838283828382839
2021-04-01,0.013001336898395721
2021-05-01,0.012988313856427378
2021-06-01,0.013014386082301772
2021-07-01,0.02693819221150411
2021-08-01,0.01267801319902744
2021-09-01,0.011986863711001642
2021-10-01,0.012231903485254691
2021-11-01,0.012457337883959044
2021-12-01,0.012260665099093047
2022-01-01,0.013077749910426371
2022-02-01,0.013313879263177094
2022-03-01,0.012586206896551724
2022-04-01,0.013049696102967466
2022-05-01,0.012843068261787473
2022-06-01,0.013267902580879681
2022-07-01,0.03026685393258427
2022-08-01,0.017259940961972565
2022-09-01,0.018593340815563037
2022-10-01,0.01744777953308759
2022-11-01,0.01719128329297821
2022-12-01,0.018407407407407407
2023-01-01,0.017586694975230008
2023-02-01,0.01750924784217016
2023-03-01,0.01696824854899283
2023-04-01,0.016489714664897147
2023-05-01,0.015406075635461872
2023-06-01,0.014306275187104202
2023-07-01,0.03145705071826444
2023-08-01,0.017178645988666866
2023-09-01,0.017449257800666466
2023-10-01,0.01801689083515796
2023-11-01,0.01661858049624928
2023-12-01,0.01661858049624928
2024-01-01,0.015302869287991499
2024-02-01,0.0141627735431522
2024-03-01,0.013671967718965108
2024-04-01,0.01437843235147279
2024-05-01,0.014328358208955224
2024-06-01,0.01393323657474601
2024-07-01,0.029602977667493795
2024-08-01,0.015510306686777275
2024-09-01,0.01567979669631512
2024-10-01,0.015223291389094498
2024-11-01,0.015569013373706787
2024-12-01,0.014878225223052809
2025-01-01,0.015004863813229572
2025-02-01,0.01596790890269151
2025-03-01,0.016514989293361884
2025-04-01,0.01635303472038166
2025-05-01,0.01548306148055207
2025-06-01,0.014545025931164544
2025-07-01,0.03163361661945231
2025-08-01,0.016401996370235934
2025-09-01,0.015505039674029594
2025-10-01,0.01329288472145615
2025-11-01,0.013871834228702994
2025-12-01,0.013818807339449542
2026-01-01,0.013052897634952158
2026-02-01,0.011829188481675393
2026-03-01,0.013519072550486164
2026-04-01,0.011723690611318307
